Stock,Date,Close,to_buy_1d,prediction_prob,neutralized,prediction_res,neutralized_res
CVS,2025-02-13 09:30:00,65.28,1,0.37485215191592286,0.3298698936860121,0,0
CVS,2025-01-24 11:30:00,54.31,1,0.5146783165898922,0.4529169185991051,1,0
CVS,2025-01-06 10:30:00,46.12,1,0.5413664777888137,0.4764025004541561,1,0
CVS,2025-01-17 13:00:00,52.68,0,0.49009309349537183,0.4312819222759272,0,0
CVS,2025-01-21 14:30:00,52.82,1,0.4869765743577126,0.42853938543478703,0,0
CVS,2025-01-15 09:30:00,51.69,0,0.4401929977370031,0.38736983800856273,0,0
CVS,2025-01-30 14:00:00,56.93,0,0.23615162681830257,0.20781343160010624,0,0
CVS,2025-01-28 12:30:00,57.25,1,0.39813427832073023,0.3503581649222426,0,0
CVS,2025-02-03 15:30:00,55.96,0,0.4676497524817573,0.4115317821839464,0,0
CVS,2025-02-06 09:30:00,54.78,0,0.4670371351233347,0.4109926789085345,0,0
CVS,2025-01-29 12:30:00,57.53,0,0.4203226865308255,0.36988396414712643,0,0
CVS,2025-01-10 14:00:00,47.83,1,0.48883788775636616,0.4301773412256022,0,0
CVS,2025-01-27 11:00:00,55.7,1,0.5374044821846867,0.4729159443225243,1,0
CVS,2025-01-28 10:00:00,56.67,1,0.39813427832073023,0.3503581649222426,0,0
CVS,2025-01-15 13:30:00,51.97,0,0.21885909500842737,0.1925960036074161,0,0
CVS,2025-01-23 12:00:00,54.23,0,0.4869765743577126,0.42853938543478703,0,0
CVS,2025-02-07 10:00:00,54.37,0,0.49201788047016,0.4329757348137408,0,0
CVS,2025-01-06 11:00:00,46.14,1,0.5864764034058625,0.516099234997159,1,1
CVS,2025-02-05 14:30:00,55.3,1,0.4653986689372933,0.4095508286648181,0,0
CVS,2025-01-08 12:00:00,45.91,1,0.5107163209857654,0.44943036246747353,1,0
CVS,2025-02-05 13:30:00,55.47,0,0.4653986689372933,0.4095508286648181,0,0
CVS,2025-02-07 12:30:00,54.25,0,0.49201788047016,0.4329757348137408,0,0
CVS,2025-01-07 15:00:00,45.69,0,0.21819000061318364,0.19200720053960157,0,0
CVS,2025-01-30 09:30:00,56.17,1,0.39813427832073023,0.3503581649222426,0,0
CVS,2025-01-07 12:00:00,45.86,0,0.21819000061318364,0.19200720053960157,0,0
CVS,2025-01-21 13:00:00,52.71,1,0.5276015078889958,0.46428932694231634,1,0
CVS,2025-01-29 10:00:00,58.03,0,0.20932078361865308,0.1842022895844147,0,0
CVS,2025-02-04 10:00:00,55.88,0,0.4614463471677603,0.40607278550762904,0,0
CVS,2025-01-27 13:00:00,55.79,1,0.5413664777888137,0.4764025004541561,1,0
CVS,2025-01-31 09:30:00,56.09,1,0.3617438984596161,0.31833463064446216,0,0
CVS,2025-02-07 12:00:00,54.22,0,0.49201788047016,0.4329757348137408,0,0
