DataFrame Statistics:
         Stock                           Date           Open           High            Low          Close        Volume        dayOpen       dayClose        dayHigh      dayHigh_1      dayHigh_2      dayHigh_3         dayLow     prevDayLow    prevDayOpen   prev2DayOpen   prevDayClose  prev2DayClose  Close_1_day_ago  Close_2_days_ago  Open_1_day_ago       Volume1       Volume2       Volume3      return_1d      return_2d  open_to_prev_close         PM_max  PM_max_time_in_sec         PM_min  PM_min_time_in_sec  PM_max_1dayago  PM_volume_sum  PM_volume_max         AH_max  AH_max_1dayago          EMA_3         EMA_13         EMA_48         STD_10         STD_30      to_buy_1d
count   222118                         222118  222118.000000  222118.000000  222118.000000  222118.000000  2.221180e+05  222118.000000  222118.000000  222118.000000  222118.000000  222118.000000  222118.000000  222118.000000  222118.000000  222118.000000  222118.000000  222118.000000  222118.000000    222118.000000     222118.000000   222118.000000  2.221180e+05  2.221180e+05  2.221180e+05  222118.000000  222118.000000       222118.000000  205517.000000       205517.000000  205517.000000       205517.000000   205504.000000   2.055170e+05   2.055170e+05  222118.000000   222118.000000  222118.000000  222118.000000  222118.000000  222118.000000  222118.000000  221329.000000
unique      76                            NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN              NaN               NaN             NaN           NaN           NaN           NaN            NaN            NaN                 NaN            NaN                 NaN            NaN                 NaN             NaN            NaN            NaN            NaN             NaN            NaN            NaN            NaN            NaN            NaN            NaN
top       AAPL                            NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN              NaN               NaN             NaN           NaN           NaN           NaN            NaN            NaN                 NaN            NaN                 NaN            NaN                 NaN             NaN            NaN            NaN            NaN             NaN            NaN            NaN            NaN            NaN            NaN            NaN
freq      2951                            NaN            NaN            NaN            NaN            NaN           NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN              NaN               NaN             NaN           NaN           NaN           NaN            NaN            NaN                 NaN            NaN                 NaN            NaN                 NaN             NaN            NaN            NaN            NaN             NaN            NaN            NaN            NaN            NaN            NaN            NaN
mean       NaN  2024-10-03 14:55:02.703968256     215.954812     216.555973     215.334299     215.954575  8.262242e+05     215.993299     215.957617     218.418252     218.012223     218.136022     218.279539     213.412140     213.272179     215.851565     215.721703     215.816997     215.673085       215.816123        215.675079      215.816249  8.272725e+05  8.269493e+05  8.266802e+05       1.001185       1.002423            1.000970     213.085946        26967.777848     210.953527        27038.142830      212.967002   2.698027e+05   9.157697e+04     216.503635      216.363680     215.943733     215.890043     215.711813       1.182217       2.151381       0.414528
min        NaN            2024-04-22 09:30:00       2.075000       2.087000       2.065000       2.075000  0.000000e+00       2.100000       2.145000       2.180000       2.099800       2.145000       2.145000       2.065000       2.065000       2.100000       2.040000       2.100000       2.100000         2.075000          2.075000        2.075000  0.000000e+00  0.000000e+00  0.000000e+00       0.456892       0.535969            0.696261       2.150000        14400.000000       2.080000        14400.000000        2.150000   1.000000e+02   1.000000e+02       2.180000        2.100000       2.079865       2.095507       2.100757       0.004651       0.012798       0.000000
25%        NaN            2024-07-15 10:30:00      69.160000      69.380000      68.970000      69.170000  7.269800e+04      69.170000      69.260000      70.070000      69.880000      69.940000      70.040000      68.260000      68.200000      69.140000      69.090000      69.230000      69.180000        69.130000         69.060000       69.120000  7.271325e+04  7.271075e+04  7.269925e+04       0.990692       0.986418            0.996557      67.720000        25200.000000      66.550000        25200.000000       67.565000   2.189000e+03   1.227000e+03      69.410000       69.390000      69.152666      69.146593      69.232827       0.283817       0.563292       0.000000
50%        NaN            2024-10-03 10:30:00     154.380000     154.890000     153.920000     154.385000  2.105915e+05     154.745000     154.545000     156.490000     156.395000     156.405000     156.450000     152.345000     152.335000     154.580000     154.510000     154.490000     154.420000       154.290000        154.215000      154.290000  2.106235e+05  2.106275e+05  2.106120e+05       1.000888       1.001723            1.000676     145.470000        28800.000000     143.660000        28800.000000      145.460000   1.248500e+04   5.886000e+03     155.015000      155.000000     154.422255     154.407504     154.376165       0.652843       1.276055       0.000000
75%        NaN            2024-12-23 13:30:00     296.170000     296.737500     295.390000     296.170000  6.251815e+05     296.290000     296.320000     299.540000     298.770000     298.980000     299.200000     292.740000     292.600000     296.070000     295.540000     296.060000     295.650000       295.880000        295.667500      295.880000  6.256278e+05  6.254068e+05  6.253180e+05       1.011028       1.016973            1.005140     284.250000        32400.000000     281.380000        32400.000000      284.235000   8.815000e+04   3.587900e+04     296.560000      296.330000     296.114880     295.983251     296.121161       1.392993       2.605446       1.000000
max        NaN            2025-03-18 15:30:00    1076.590000    1078.240000    1075.390000    1076.920000  1.156103e+08    1076.480000    1076.770000    1078.240000    1078.240000    1078.240000    1078.240000    1068.010000    1068.010000    1076.480000    1076.480000    1076.770000    1076.770000      1076.920000       1076.920000     1076.590000  1.156103e+08  1.156103e+08  1.156103e+08       1.701530       2.106695            1.313808    1076.880000        32400.000000    1070.100000        32400.000000     1076.880000   5.978695e+07   9.214763e+06    1078.000000     1078.000000    1076.038680    1073.676128    1066.996271      53.364128      71.278637       1.000000
