Date,Open,High,Low,Close,prediction,actual_result,target_hit_on
2025-02-10 09:30:00,57.8,57.86,57.39,57.56,1,1,2025-02-11 12:00:00
2025-02-10 10:00:00,57.6,57.62,57.33,57.35,1,1,2025-02-11 09:30:00
2025-02-10 10:30:00,57.35,57.47,57.26,57.36,1,1,2025-02-11 09:30:00
2025-02-10 11:00:00,57.36,57.43,57.3,57.38,0,-1,
2025-02-10 11:30:00,57.36,57.46,57.32,57.4,1,1,2025-02-11 09:30:00
2025-02-10 12:00:00,57.41,57.46,57.33,57.44,1,1,2025-02-11 09:30:00
2025-02-10 12:30:00,57.44,57.49,57.41,57.43,1,1,2025-02-11 09:30:00
2025-02-10 13:00:00,57.44,57.5,57.42,57.48,1,1,2025-02-11 09:30:00
2025-02-10 13:30:00,57.48,57.67,57.45,57.67,1,1,2025-02-11 13:00:00
2025-02-10 14:00:00,57.67,57.78,57.67,57.69,0,-1,
2025-02-10 14:30:00,57.68,57.7,57.44,57.44,1,1,2025-02-11 09:30:00
2025-02-10 15:00:00,57.46,57.52,57.42,57.42,1,1,2025-02-11 09:30:00
2025-02-10 15:30:00,57.43,57.74,57.41,57.72,0,-1,
2025-02-11 09:30:00,57.82,58.17,57.67,58.06,0,-1,
2025-02-11 10:00:00,58.04,58.05,57.7,57.88,0,-1,
2025-02-11 10:30:00,57.89,58.05,57.88,57.98,0,-1,
2025-02-11 11:00:00,57.97,58.1,57.97,58.1,0,-1,
2025-02-11 11:30:00,58.08,58.21,58.07,58.17,0,-1,
2025-02-11 12:00:00,58.18,58.31,58.13,58.15,0,-1,
2025-02-11 12:30:00,58.15,58.26,58.15,58.24,0,-1,
2025-02-11 13:00:00,58.26,58.39,58.26,58.35,0,-1,
2025-02-11 13:30:00,58.35,58.46,58.35,58.4,0,-1,
2025-02-11 14:00:00,58.41,58.57,58.41,58.55,0,-1,
2025-02-11 14:30:00,58.55,58.56,58.47,58.51,0,-1,
2025-02-11 15:00:00,58.51,58.55,58.46,58.54,0,-1,
2025-02-11 15:30:00,58.55,58.79,58.52,58.77,0,-1,
2025-02-12 09:30:00,58.15,58.6,58.05,58.14,0,-1,
2025-02-12 10:00:00,58.14,58.34,58.04,58.22,0,-1,
2025-02-12 10:30:00,58.2,58.39,58.17,58.33,0,-1,
2025-02-12 11:00:00,58.33,58.33,58.14,58.3,0,-1,
2025-02-12 11:30:00,58.3,58.46,58.15,58.31,0,-1,
2025-02-12 12:00:00,58.29,58.43,58.24,58.38,0,-1,
2025-02-12 12:30:00,58.39,58.42,58.33,58.42,0,-1,
2025-02-12 13:00:00,58.42,58.44,58.15,58.15,0,-1,
2025-02-12 13:30:00,58.15,58.17,57.97,58.09,0,-1,
2025-02-12 14:00:00,58.09,58.17,57.86,57.92,0,-1,
2025-02-12 14:30:00,57.9,57.95,57.84,57.91,0,-1,
