Date,AH_max_1dayago_vs_PM_max_class,PM_range_to_open_ratio_class,high_quad_p_rel_class,AH_max_1dayago_vs_prevDayClose_class,Close_to_Close_1_day_ago_class,PM_max_to_dayOpen_ratio_class,high_slope_rel_class,prev2DayClose_to_prevDayClose_ratio_class,Close_to_prevDayHigh_class,dayOpen_to_prevDayOpen_ratio_class,dayOpen_to_prevDayClose_class,to_buy_1d,predicted_to_buy
2025-01-16 09:30:00,6,1,3,2,4,3,3,3,4,2,2,1,0
2025-01-16 10:00:00,6,1,3,2,3,3,3,3,4,2,2,1,0
2025-01-16 10:30:00,6,1,3,2,3,3,3,3,4,2,2,1,0
2025-01-16 11:00:00,6,1,3,2,4,3,3,3,4,2,2,1,0
2025-01-16 11:30:00,6,1,3,2,4,3,3,3,4,2,2,0,0
2025-01-16 12:00:00,6,1,3,2,4,3,3,3,4,2,2,0,0
2025-01-16 12:30:00,6,1,3,2,4,3,3,3,4,2,2,0,0
2025-01-16 13:00:00,6,1,3,2,4,3,3,3,4,2,2,0,0
2025-01-16 13:30:00,6,1,3,2,3,3,3,3,4,2,2,0,0
2025-01-16 14:00:00,6,1,3,2,3,3,3,3,5,2,2,0,0
2025-01-16 14:30:00,6,1,3,2,3,3,3,3,5,2,2,0,0
2025-01-16 15:00:00,6,1,3,2,3,3,3,3,5,2,2,0,0
2025-01-16 15:30:00,6,1,3,2,4,3,3,3,5,2,2,0,0
2025-01-17 09:30:00,6,1,4,1,5,1,4,3,5,4,2,0,0
2025-01-17 10:00:00,6,1,4,1,5,1,4,3,5,4,2,0,0
2025-01-17 10:30:00,6,1,4,1,5,1,4,3,5,4,2,0,0
2025-01-17 11:00:00,6,1,4,1,4,1,4,3,4,4,2,0,0
2025-01-17 11:30:00,6,1,4,1,4,1,4,3,4,4,2,0,0
2025-01-17 12:00:00,6,1,4,1,4,1,4,3,5,4,2,0,0
2025-01-17 12:30:00,6,1,4,1,4,1,4,3,4,4,2,0,0
2025-01-17 13:00:00,6,1,4,1,3,1,4,3,4,4,2,1,0
2025-01-17 13:30:00,6,1,4,1,4,1,4,3,4,4,2,1,0
2025-01-17 14:00:00,6,1,4,1,3,1,4,3,4,4,2,1,0
2025-01-17 14:30:00,6,1,4,1,3,1,4,3,4,4,2,1,0
2025-01-17 15:00:00,6,1,4,1,3,1,4,3,4,4,2,1,0
2025-01-17 15:30:00,6,1,4,1,2,1,4,3,4,4,2,1,0
2025-01-21 09:30:00,6,1,3,5,3,2,4,5,5,3,2,0,0
2025-01-21 10:00:00,6,1,3,5,3,2,4,5,5,3,2,0,0
2025-01-21 10:30:00,6,1,3,5,4,2,4,5,5,3,2,0,0
2025-01-21 11:00:00,6,1,3,5,5,2,4,5,5,3,2,0,0
2025-01-21 11:30:00,6,1,3,5,4,2,4,5,5,3,2,0,0
2025-01-21 12:00:00,6,1,3,5,4,2,4,5,5,3,2,0,0
